ΥΠΟΥΡΓΕΙΟ ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΡΟΦΙΜΩΝ;https://diavgeia.gov.gr/f/YAAT
ΥΠΟΥΡΓΕΙΟ ΔΙΚΑΙΟΣΥΝΗΣ;https://diavgeia.gov.gr/f/ministryofjustice
ΥΠΟΥΡΓΕΙΟ ΔΙΟΙΚΗΤΙΚΗΣ ΑΝΑΣΥΓΚΡΟΤΗΣΗΣ;https://diavgeia.gov.gr/f/minadmin
ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ;https://diavgeia.gov.gr/f/ypetha
ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ;https://diavgeia.gov.gr/f/mfa
ΥΠΟΥΡΓΕΙΟ ΕΡΓΑΣΙΑΣ, ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΛΛΗΛΕΓΓΥΗΣ;https://diavgeia.gov.gr/f/min_erkaka
ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ;https://diavgeia.gov.gr/f/ypesneo
ΥΠΟΥΡΓΕΙΟ ΜΕΤΑΝΑΣΤΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ;https://diavgeia.gov.gr/f/minmp
ΥΠΟΥΡΓΕΙΟ ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ;https://diavgeia.gov.gr/f/nautilias_new
ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ;https://diavgeia.gov.gr/f/mindev
ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΚΩΝ;https://diavgeia.gov.gr/f/minfin
